Site/Species,Average TPA,TPA SD,Average BA,BA SD,Average IV,IV SD,Average Age,Age SD,Average DBH,DBH SD
Bagley Bottoms,,,,,,,,,,
?,20,-*,3.6228195,-*,35.48191749,-*,62.5,0.707106781,17.65,0.212132034
ACSA,94.44444444,41.26472801,14.15423292,7.725380358,143.1184716,44.44735935,60.39506173,14.53588578,15.25930233,5.535264017
CEOC,10,-*,1.82649006,-*,28.80333184,-*,41,-*,5.7,-*
FRPE,20,10,2.34938322,1.577217383,27.15364586,15.14417094,58,9.033271833,15.33333333,6.569221161
PODE,15,7.071067812,1.73344482,0.572390692,19.99836222,11.92305237,67.33333333,4.618802154,28.33333333,5.25388745
QUBI,40,-*,3.96909396,-*,85.42830993,-*,107.5,24.28305308,22.325,8.080583725
ULAM,25,13.78404875,3.47117103,3.443959121,36.58291121,26.45196091,54.06666667,11.94311916,8.893333333,2.387008488
Goose Island,,,,,,,,,,
ACNE,10,-*,0.45164574,-*,19.66340605,-*,28,-*,6,-*
ACSA,55,63.63961031,3.58878654,4.675462417,55.76973532,64.07365473,66.09090909,10.26113586,16.81818182,5.262284329
BENI,51.66666667,43.55073669,7.17963651,6.768212695,104.7079156,57.88094646,47.92,11.78247286,12.31935484,4.097024884
CEOC,16.66666667,11.54700538,1.1956986,0.617611635,28.11236837,10.75339569,36,2.160246899,10.16,2.663268668
FRPE,27.77777778,18.55921454,4.54771488,3.624692689,69.16782257,45.26033152,60.48,18.91234165,12.076,5.553623442
PODE,50,-*,4.61910168,-*,58.2740095,-*,65.5,6.454972244,22.36,5.442701535
QUBI,20,10,1.0101717,0.772068027,32.54383495,20.2594932,81.66666667,20.84866103,16.96666667,9.560683379
QUEL,20,15.49193338,1.69563951,1.724098251,39.83211429,35.32749186,63.66666667,17.96629842,15.55,6.042801879
ROPS,40,-*,5.27036382,-*,96.95031417,-*,31,3.605551275,6.65,1.748332539
ULAM,10,0,1.03566006,1.118402512,20.92680363,19.45226873,62,9.899494937,10.45,0.212132034
Great River Harbor,,,,,,,,,,
ACNE,20,-*,0.95821326,-*,21.20032136,-*,41,-*,6.85,0.494974747
ACSA,70,39.15780041,14.03443733,13.46135372,120.0818769,49.39866714,61.92857143,21.67594429,12.97142857,6.907797909
FRPE,20,14.14213562,0.87212187,0.470813604,22.64310959,16.07380594,52.375,19.50045787,8.55,3.458323293
PODE,20,0,7.47759762,9.962035392,50.44042552,49.4044813,67,3.741657387,36.55,5.124125942
QUEL,10,-*,2.405214,-*,27.33375099,-*,128,-*,39,-*
TIAM,40,-*,4.03192404,-*,74.86621033,-*,49,34.43835072,13.975,9.703049349
ULAM,10,-*,0.46162656,-*,12.5112281,-*,66,-*,18.6,-*
Indian Slough,,,,,,,,,,
ACSA,37.5,22.17355783,4.28523507,5.594817317,71.90757437,45.68996945,82.15384615,18.6630033,19.56666667,7.91694987
BENI,40,-*,3.01508028,-*,51.29136318,-*,19.33333333,1.154700538,6.2,1.476482306
CEOC,36.66666667,25.16611478,11.06518428,4.825199866,97.80936951,52.80678372,47.18181818,14.68208556,8.963636364,2.52002886
FRPE,23.33333333,5.773502692,1.1386134,0.982108533,37.8022007,19.30569514,85.5,25.69695183,14.31428571,4.675977107
PODE,10,-*,0.6013035,-*,34.11449434,-*,112,-*,33.3,-*
ULAM,10,-*,0.17720046,-*,20.12913437,-*,51,-*,12.2,-*
Lake Rebecca,,,,,,,,,,
ACNE,20,-*,1.09892646,-*,19.6812012,-*,40.5,4.949747468,6.95,1.909188309
ACSA,127.5,103.4005158,17.32889876,13.37607597,109.6738623,61.99722115,62.5,5.165351011,10.58039216,4.741730469
FRPE,36,27.92848009,3.486644028,3.397970131,32.30443559,22.99910341,68.55555556,16.25973816,9.422222222,3.027434471
PODE,48,37.68288736,6.617425464,9.375702456,57.68684829,55.71627346,65.77272727,11.17365873,22.6,10.34803069
ULAM,22.5,12.58305739,2.374412535,1.138885514,22.91673258,13.61304042,56.4,11.08151614,7.366666667,1.501665742
McNally's Landing,,,,,,,,,,
CEOC,70,-*,10.1678922,-*,132.3208321,-*,41.85714286,8.254868693,15.58571429,3.517777978
FRPE,100,113.137085,8.13619539,9.450308394,113.622747,122.1558827,52.8,10.03992032,11.89,3.378087282
ULAM,30,-*,2.12100606,-*,40.43367398,-*,34.66666667,1.154700538,11.76666667,1.115048579
Minnesota City Boat Club,,,,,,,,,,
ACSA,60,-*,8.6759505,-*,92.33521667,-*,75.83333333,2.562550813,14.38333333,5.4561586
FRPE,30,-*,7.37020836,-*,120.020519,-*,59.33333333,18.7705443,9.533333333,2.836077103
PODE,30,28.28427125,6.18791751,5.937213278,63.95828009,40.14776566,76.66666667,3.777124126,24.03333333,5.77049969
TIAM,10,-*,0.73389024,-*,23.6389764,-*,60,-*,16.2,-*
ULAM,10,0,0.93167955,0.706637559,18.04436388,3.856020147,36.5,21.92031022,7.4,2.121320344
