Site,Plot,MedAge,Shan,Simp,Rich,Comp,AveInun,MedDur,AveFreq
Bagley Bottoms,BB01,82,0,1,1,Pure,31.46944444,4,1.956944444
Bagley Bottoms,BB02,72,0.693147181,1.968736999,2,Mixed,18.803125,8,1.33125
Bagley Bottoms,BB03,66,1.083575524,2.844444444,3,Mixed,5.834210526,6,0.593421053
Bagley Bottoms,BB04,43,1.083575524,1.315789474,3,Pure,14.90333333,8,1.115
Bagley Bottoms,BB05,47.5,0.693147181,1.423529412,2,Pure,12.10882353,9,0.988235294
Bagley Bottoms,BB07,59,1.386294361,3.188679245,4,Mixed,17.34,9,1.243333333
Bagley Bottoms,BB08,52.5,0.693147181,1.528301887,2,Mixed,8.303571429,7,0.8
Bagley Bottoms,BB09,65.5,1.083575524,1.240549828,3,Pure,22.1125,9,1.566666667
Bagley Bottoms,BB10,46.5,1.083575524,2.461538462,3,Mixed,19.725,11,1.372222222
Minnesota City Boat Club,BC01,75,1.386294361,3,1,Mixed,8.333333333,8,0.708333333
Minnesota City Boat Club,BC02,74,1.083575524,2.322580645,3,Mixed,18.54444444,9,1.388888889
Goose Island,GI02,72.5,1.386294361,2.578947368,4,Mixed,23.42272727,11,1.846666667
Goose Island,GI04,54,1.083575524,2.909090909,3,Mixed,7.871590909,8,1.256578947
Goose Island,GI05,66,1.386294361,2.612903226,4,Mixed,3.275,11,1.11375
Goose Island,GI06,72.5,1.386294361,2.612903226,4,Mixed,23.22368421,11,1.11375
Goose Island,GI09,41.5,1.386294361,3,4,Mixed,7.41,5,0.233695652
Goose Island,GI10,56.5,1.083575524,1.684210526,3,Mixed,23.95666667,10,1.972058824
Goose Island,GI12,38,1.083575524,2.777777778,3,Mixed,14.52236842,11,1.767045455
Goose Island,GI13,47,1.083575524,2.777777778,3,Mixed,14.50875,7,0.689772727
Goose Island,GI14,77,1.054339022,1.457831325,3,Mixed,2.338043478,7,1.619736842
Goose Island,GI15,43,1.386294361,2.4,4,Mixed,26.42205882,7,0.64375
Great River Harbor,GR01,36,1.083575524,1.724489796,3,Mixed,38.24444444,13,2.183333333
Great River Harbor,GR02,62,1.386294361,3.520833333,4,Mixed,7.467105263,8,0.697368421
Great River Harbor,GR03,79,1.083575524,1.555555556,3,Pure,48.83333333,11.5,2.522916667
Great River Harbor,GR04,77,1.386294361,2.909090909,4,Mixed,22.49264706,8.5,1.460294118
Indian Slough,IS01,65,1.083575524,2.951219512,3,Mixed,1.670238095,8,0.161904762
Indian Slough,IS02,31,1.386294361,3.266666667,4,Mixed,3.05875,8,0.2825
Indian Slough,IS03,94.5,1.083575524,2.469387755,3,Mixed,4.271428571,7,0.478571429
Indian Slough,IS04,43,1.083575524,1.851851852,3,Mixed,4.25875,8,0.385
Lake Rebecca,LR01,52,1.386294361,2.547770701,4,Mixed,0.236081731,12,0.108653846
Lake Rebecca,LR02,63,1.386294361,1.229508197,4,Pure,18.98569643,10,1.017484472
Lake Rebecca,LR03,66.5,1.083575524,2.261682243,3,Mixed,43.65104829,12,1.494367938
Lake Rebecca,LR04,68,1.386294361,3.315789474,4,Mixed,27.37033426,11,1.180296296
Lake Rebecca,LR05,59,1.386294361,3.102564103,4,Mixed,5.33695351,12,0.415517241
McNally's Landing,ML01,41,0,1,1,Mixed,5.0576,7,0.658
McNally's Landing,ML02,50,1.083575524,2.322580645,3,Mixed,0.3667875,10,0.17325
