site,Plot,tree,species,dbh,dbhclass,height,lcr,class,age,ba,tpa,remin,remax,rerange,remean,aemin,aemax,aerange,aemean,AveInun,fldcls,meddur,medpeak,comp,Pith Score,Match Score,Core Condition,Rings,RelMin,RelMax,RelRng,RelMn,AveInun,MedDur,MedPk,AveFreq,Shan,Simp,Rich,AbsMn,AbsMx,AbsRng,AbsMean,FC1,durbin,pkbin,fqbin
Bagley Bottoms,BB1,1,ACSA,14.8,14,48,45,C,43,1.19464416,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,C,B,A,79,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,2,ACSA,21.1,21,53,25,D,45,2.42817534,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,C,C,A,77,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,3,ACSA,13.2,13,50,60,C,41,0.95030496,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,C,C,A,66,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,4,ACSA,17.1,17,50,60,C,40,1.59480414,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,B,C,A,67,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,5,ACSA,12,12,47,50,C,47,0.785376,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,B,B,A,82,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,6,ACSA,10.1,10,45,70,I,51,0.55636254,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,B,C,A,124,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,7,ACSA,12.5,12,51,75,C,47,0.8521875,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,A,B,B,96,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,8,ACSA,17.1,17,51,75,C,40,1.59480414,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,C,B,A,41,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,9,ACSA,21.6,21,55,40,D,45,2.54461824,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,B,C,B,79,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,10,ACSA,16.5,16,53,20,C,49,1.4848515,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,,,,131,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
