Site,Plot,Tree #,Species,DBH (in),Height,Live Crown Ratio (%),Class,Status,Site ID,Core ID,Species,Skeleton (Y/N),Measured (Y/N),Innermost Year,Notes
Lake Rebecca,1,1,CW,15.1,83.9,30,D,L,,,,,,,
Lake Rebecca,1,2,BE,8.3,52.8,80,I,L,,,,,,,
Lake Rebecca,1,3,BE,5.6,25.9,50,S,L,,,,,,,
Lake Rebecca,1,4,AE,6.4,33.4,50,S,L,,,,,,,
Lake Rebecca,1,5,CW,13.2,55.8,40,S,L,,,,,,,
Lake Rebecca,1,6,CW,20.7,93.9,40,D,L,,,,,,,
Lake Rebecca,1,7,CW,14.8,89.8,40,C,L,,,,,,,
Lake Rebecca,1,8,CW,22.9,103.3,30,D,L,,,,,,,
Lake Rebecca,1,9,ASH,5.1,63.9,50,S,L,,,,,,,
Lake Rebecca,1,10,ASH,12.6,93.2,60,C,L,LR,0110A,ASH,,,1946,
Lake Rebecca,1,11,ASH,7.9,69.7,60,I,L,LR,0110B,ASH,,,1950,
Lake Rebecca,1,12,CW,14.6,81.8,35,D,L,LR,0111A,ASH,,,1967,
Lake Rebecca,1,13,CW,15.1,78.2,60,C,L,,,,,,,
Lake Rebecca,1,14,AE,6.1,24.7,20,S,L,,,,,,,
Lake Rebecca,1,15,AE,5.5,38.5,40,S,L,,,,,,,
Lake Rebecca,1,16,CW,16.2,98.8,40,D,L,,,,,,,
Lake Rebecca,1,17,AE,9,45.1,60,I,L,,,,,,,
Lake Rebecca,1,18,CW,11.5,80.5,40,C,L,,,,,,,
Lake Rebecca,1,19,CW,17.8,96.6,35,D,L,,,,,,,
Lake Rebecca,1,20,CW,29.5,90.8,20,D,L,,,,,,,
Lake Rebecca,2,1,SM,11.5,63.5,25,D,L,LR,0201A,SM,,,1957.5,"""injuries"": 2000s, 1990s, 1980s"
Lake Rebecca,2,2,SM,15.4,71.6,15,D,L,LR,0202A,SM,,,1958,"""injuries"": 1970s, 1960s"
Lake Rebecca,2,3,SM,7.5,44.9,40,S,L,,,,,,,
Lake Rebecca,2,4,SM,11.4,59.7,30,D,L,LR,0204A,SM,,,1954,
Lake Rebecca,2,5,SM,5.4,41.6,10,S,L,LR,0205A,SM,,,1949,"""injuries"": 2010s, 1990s"
Lake Rebecca,2,6,ASH,12.7,45.6,30,C,L,LR,0206A,ASH,,,1953,
Lake Rebecca,2,7,SM,7.6,37.8,10,S,L,LR,0207A,SM,,,1957,"""injuries"": 1980s"
Lake Rebecca,2,8,SM,13,60.4,20,D,L,LR,0208A,SM,,,1958,"""injuries"": 1970s, 1960s"
Lake Rebecca,2,9,SM,5.7,34.8,30,C,L,,,,,,,
Lake Rebecca,2,10,SM,10.2,56,40,D,L,LR,0210B,SM,,,1962,"""injures"": 1960s, 1970s"
Lake Rebecca,2,11,SM,8.3,39.3,60,D,L,LR,0211A,SM,,,1959,"""injuries"": 1990s, 1960s"
Lake Rebecca,2,12,SM,9.9,47.1,20,C,L,,,,,,,
Lake Rebecca,2,13,SM,5.2,14.6,60,S,L,LR,0213A,SM,,,1951,"""injuries"": 1990s"
Lake Rebecca,2,14,SM,6.1,38.2,60,S,L,,,,,,,
Lake Rebecca,2,15,SM,9.8,46.8,40,S,L,LR,0215A,SM,,,1960.5,"""injuries"": 2000s"
Lake Rebecca,2,16,SM,11,43.4,30,C,L,LR,0216B,SM,,,1959,"""injuries"": 1970s, 1960s"
Lake Rebecca,2,17,SM,6,37.1,50,S,L,LR,0217B,SM,,,1969,"""injuries"": 1990s, 1980s"
Lake Rebecca,2,18,SM,14.5,53.4,20,C,L,LR,0218A,SM,,,1962,"""injuries"": 1990s, 1980s, 1970s, 1960s"
Lake Rebecca,2,19,SM,15.8,60.7,15,C,L,LR,0219B,SM,,,1954,"""injuries"": 1990s, 1970s, 1960s"
Lake Rebecca,2,20,SM,5.3,38.1,70,S,L,LR,0220A,SM,,,1969,"""injuries"": 1990s"
Lake Rebecca,2,21,SM,5.9,28.1,80,S,L,,,,,,,
Lake Rebecca,2,22,SM,10.2,42.7,15,C,L,LR,0222A,SM,,,1974,"""injuries"": 1990s, 1980s"
Lake Rebecca,2,23,SM,6.7,33.5,20,S,L,LR,0223B,SM,,,1958,"""injuries"": 1980s"
Lake Rebecca,2,24,SM,17.2,44.5,10,S,L,LR,0224A,SM,,,1967,"""injuries"": 1980s, 1970s"
Lake Rebecca,2,25,SM,9.8,36.8,30,S,L,LR,0225A,SM,,,1957,"""injuries"": 2000s, 1990s, 1980s"
Lake Rebecca,2,26,SM,7.7,49.6,20,S,L,,,,,,,
Lake Rebecca,2,27,AE,10.1,27.7,20,S,L,,,,,,,
Lake Rebecca,2,28,SM,6.5,42.5,40,S,L,LR,0228B,SM,,,1963,"""injuries"": 1990s, 1980s, 1960s"
Lake Rebecca,2,29,SM,9.9,53.7,40,S,L,LR,0229A,SM,,,1960,"""injuries"": 1990s, 1970s, 1960s"
Lake Rebecca,2,30,CW,61.8,97.2,10,D,L,LR,0231A,SM,,,1970,
Lake Rebecca,3,1,SM,7.5,37.7,40,S,L,,,,,,,
Lake Rebecca,3,2,SM,11.1,48.6,10,I,L,,,,,,,
Lake Rebecca,3,3,ASH,10.7,48,5,S,D,,,,,,,
Lake Rebecca,3,4,ASH,15.5,61.2,15,D,L,LR,0304A,ASH,,,1947,
Lake Rebecca,3,5,ASH,12.2,31.1,40,I,L,LR,0305A,ASH,,,1938.5,
Lake Rebecca,3,6,ASH,12.2,54.3,20,C,L,LR,0306A,ASH,,,1941.5,
Lake Rebecca,3,7,ASH,8.8,31.5,20,S,L,,,,,,,
Lake Rebecca,3,8,SM,33.5,75.4,30,C,L,,,,,,,
Lake Rebecca,3,9,ASH,13,48.4,40,C,L,LR,0309A,ASH,,,1933.5,
Lake Rebecca,3,10,SM,10,55.6,30,I,L,,,,,,,
Lake Rebecca,3,11,CW,20.2,61.9,15,D,L,,,,,,,
Lake Rebecca,3,12,SM,12.1,59.5,20,C,L,LR,0312A,SM,,,1956,"""injuries"": 1970s, 1960s"
Lake Rebecca,3,13,SM,11.8,44.3,30,I,L,,,,,,,
Lake Rebecca,3,14,CW,18.5,67.1,10,D,L,,,,,,,
Lake Rebecca,3,15,SM,9.2,53.5,25,I,L,LR,0315A,SM,,,1966,"""injuries"": 1990s, 1980s, 1970s"
Lake Rebecca,3,16,SM,15.9,63.3,50,C,L,LR,0316A,SM,,,1958,"""injuries"": 1970s, 1960s"
Lake Rebecca,3,17,SM,7.9,43.2,20,S,L,LR,0317A,SM,,,1954,"""injuries"": 1970s"
Lake Rebecca,3,18,SM,6.8,28.3,40,S,L,LR,0318B,SM,,,1963,"""injuries"": 1980s, 1970s"
Lake Rebecca,3,19,SM,6.5,43.7,50,S,L,LR,0319B,SM,,,1963,"""injuries"": 2000s, 1990s, 1980s"
Lake Rebecca,3,20,CW,23.1,92.1,10,D,L,,,,,,,
Lake Rebecca,3,21,SM,10.2,41.1,50,I,L,LR,0321A,SM,,,1963,"""injuries"": 1990s, 1980s"
Lake Rebecca,3,22,SM,9.1,64.7,10,C,L,,,,,,,
Lake Rebecca,4,1,SM,10.7,70.7,30,I,L,,,,,,,
Lake Rebecca,4,2,SM,7.3,27,50,S,L,LR,0402A,SM,,,1953,"""injuries"": 2010s"
Lake Rebecca,4,3,CW,27.9,85.4,20,D,L,,,,,,,
Lake Rebecca,4,4,ASH,9.5,57.4,5,S,L,,,,,,,
Lake Rebecca,4,5,AE,8.2,34.1,80,I,L,,,,,,,
Lake Rebecca,4,6,SM,16.7,52.6,40,C,L,LR,0406A,SM,,,1962,"""injuries"": 1980s, 1970s, 1960s"
Lake Rebecca,4,7,AE,6.8,37,80,I,L,,,,,,,
Lake Rebecca,4,8,SM,13.3,62.9,40,C,L,LR,0408B,SM,,,1950,"""injuries"": 1990s, 1970s, 1960s, 1950s"
Lake Rebecca,4,9,ASH,7.9,51.6,70,I,L,LR,0409A,ASH,,,1948,
Lake Rebecca,4,10,CW,17.9,58.6,20,D,L,,,,,,,
Lake Rebecca,4,11,SM,8.3,47.4,40,I,L,LR,0411B,SM,,,1947,"""injuries"": 1980s, 1970s"
Lake Rebecca,4,12,SM,5.9,33.8,40,I,L,LR,0412A,SM,,,1958,
Lake Rebecca,4,13,ASH,8.6,48.9,80,I,L,LR,0413A,ASH,,,1947,
Lake Rebecca,4,14,CW,28.1,98.8,15,D,L,LR,,,,,,
Lake Rebecca,4,15,SM,13.5,54.3,40,I,L,LR,0415A,SM,,,1950.5,"""injuries"": 1990s, 1970s, 1960s, 1950s"
Lake Rebecca,4,16,ASH,6,31,70,I,L,LR,,,,,,
Lake Rebecca,4,17,CW,15.5,93.7,20,C,L,,,,,,,
Lake Rebecca,4,18,ASH,7.1,42.5,70,I,L,,,,,,,
Lake Rebecca,4,19,ASH,7.9,36.1,80,I,L,,,,,,,
Lake Rebecca,4,20,ASH,6.3,36.1,80,I,L,LR,0420A,SM,,,1952,"""injuries"": 1990s, 1970s, 1960s, 1950s"
Lake Rebecca,4,21,SM,15.1,60,50,C,L,,,,,,,
Lake Rebecca,5,1,AE,7.7,31.6,60,I,L,,,,,,,
Lake Rebecca,5,2,CW,24.6,74.6,20,D,L,,,,,,,
Lake Rebecca,5,3,CW,34.8,75.3,30,D,L,,,,,,,
Lake Rebecca,5,4,CW,23,107,15,D,L,,,,,,,
Lake Rebecca,5,5,SM,15.5,55.7,40,I,L,LR,0505A,SM,,,1948.5,"""injuries"": 1990s, 1970s, 1960s, 1950s"
Lake Rebecca,5,6,CW,27,75.8,20,D,L,,,,,,,
Lake Rebecca,5,7,CW,28.6,80.7,25,C,L,,,,,,,
Lake Rebecca,5,8,SM,14,51.4,40,C,L,LR,0508B,SM,,,1946,"""injuries"": 1990s, 1980s, 1970s, 1950s"
Lake Rebecca,5,9,ASH,5.6,29.5,30,S,L,LR,0509A,ASH,,,1989.5,
Lake Rebecca,5,10,AE,6.5,26.3,40,S,L,,,,,,,
Lake Rebecca,5,11,SM,14.2,50.4,50,C,L,,,,,,,
