Site,Plot,Tree #,Species,Species Ac,DBH (in),DBH Class (1 inch bin),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status,Age,BA/tree (sq. ft),BA/acre,TPA
Bagley Bottoms,4,1,ASH,,19.4,19,32,2,32.16666667,79,55,40,C,L,59,2.05266744,20.5266744,10
Bagley Bottoms,4,2,SM,,20,20,26,4,26.33333333,97,43,25,I,L,47,2.1816,21.816,10
Bagley Bottoms,4,3,SM,,20.1,20,26,4,26.33333333,97,43,25,I,L,59,2.20347054,22.0347054,10
Bagley Bottoms,4,4,SM,,15.2,15,26,4,26.33333333,97,43,25,I,L,37,1.26009216,12.6009216,10
Bagley Bottoms,4,5,SM,,20,20,35,8,35.66666667,164,53,25,C,L,73,2.1816,21.816,10
Bagley Bottoms,4,6,AE,,9.2,9,29,3,29.25,174,47,30,S,L,58,0.46162656,4.6162656,10
Bagley Bottoms,4,7,SM,,11.1,11,31,3,31.25,182,43,20,I,L,64,0.67198734,6.7198734,10
Bagley Bottoms,4,8,SM,,13.8,13,21,9,21.75,188,58,15,C,L,60,1.03865976,10.3865976,10
Bagley Bottoms,4,9,SM,,15,15,24,11,24.91666667,191,50,20,C,L,61,1.22715,12.2715,10
Bagley Bottoms,4,10,SM,,11.8,11,19,11,19.91666667,195,47,35,I,L,56,0.75941496,7.5941496,10
Bagley Bottoms,4,11,SM,,11.5,11,10,3,10.25,224,45,5,S,D,NA,0.7212915,7.212915,10
Bagley Bottoms,4,12,SM,,18.7,18,24,3,24.25,256,52,30,D,L,65,1.90720926,19.0720926,10
Bagley Bottoms,4,13,SM,,21,21,19,10,19.83333333,280,46,40,I,L,59,2.405214,24.05214,10
Bagley Bottoms,4,14,SM,,15.1,15,19,10,19.83333333,280,46,40,I,L,NA,1.24356654,12.4356654,10
Bagley Bottoms,4,15,SM,,31.8,31,5,6,5.5,322,59,25,D,L,68,5.51530296,55.1530296,10
Bagley Bottoms,5,1,CW,,24.4,24,32,0,32,37,63,15,D,L,70,3.24709344,32.4709344,10
Bagley Bottoms,5,2,SM,,5.5,5,33,0,33,42,45,60,S,L,64,0.1649835,1.649835,10
Bagley Bottoms,5,3,SM,,19.1,19,25,4,25.33333333,72,60,35,C,L,68,1.98967374,19.8967374,10
Bagley Bottoms,5,4,SM,,22,22,24,6,24.5,116,32,70,S,L,66,2.639736,26.39736,10
Bagley Bottoms,5,5,SM,,21.3,21,33,6,33.5,116,57,40,C,L,68,2.47442526,24.7442526,10
Bagley Bottoms,5,6,SM,,14.3,14,28,10,28.83333333,186,54,35,I,L,66,1.11528846,11.1528846,10
Bagley Bottoms,5,7,SM,,15.1,15,33,5,33.41666667,221,51,20,C,L,71,1.24356654,12.4356654,10
Bagley Bottoms,5,8,SM,,6.5,6,22,5,22.41666667,252,44,85,S,L,57,0.2304315,2.304315,10
Bagley Bottoms,5,9,CW,,34.3,34,32,4,32.33333333,253,65,20,D,L,70,6.41657646,64.1657646,10
Bagley Bottoms,5,10,SM,,13.3,13,27,6,27.5,264,56,25,C,L,59,0.96475806,9.6475806,10
Bagley Bottoms,5,11,SM,,9.8,9,23,4,23.33333333,284,52,40,I,L,62,0.52380216,5.2380216,10
Bagley Bottoms,10,1,SWO,,26.1,26,20,0,20,31,62,50,D,L,124,3.71531934,37.1531934,10
Bagley Bottoms,10,2,SWO,,31,31,8,10,8.833333333,45,65,65,D,L,96,5.241294,52.41294,10
Bagley Bottoms,10,3,HB,,5.7,5,27,11,27.91666667,111,34,30,I,L,41,0.17720046,1.7720046,10
Bagley Bottoms,10,4,SWO,,12.3,12,34,3,34.25,134,47,45,S,L,79,0.82513566,8.2513566,10
Bagley Bottoms,10,5,SWO,,19.9,19,22,5,22.41666667,138,48,80,I,L,131,2.15983854,21.5983854,10
Bagley Bottoms,10,6,SM,,11.6,11,22,5,22.41666667,202,51,40,C,L,79,0.73389024,7.3389024,10
