Site,Plot,Tree #,Species,DBH (in),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status
Lake Rebecca,1,1,CW,15.1,29,2,29.16666667,62,83.9,30,D,L
Lake Rebecca,1,2,BE,8.3,16,1,16.08333333,98,52.8,80,I,L
Lake Rebecca,1,3,BE,5.6,34,2,34.16666667,112,25.9,50,S,L
Lake Rebecca,1,4,AE,6.4,15,2,15.16666667,154,33.4,50,S,L
Lake Rebecca,1,5,CW,13.2,16,4,16.33333333,158,55.8,40,S,L
Lake Rebecca,1,6,CW,20.7,10,10,10.83333333,164,93.9,40,D,L
Lake Rebecca,1,7,CW,14.8,19,9,19.75,165,89.8,40,C,L
Lake Rebecca,1,8,CW,22.9,31,9,31.75,179,103.3,30,D,L
Lake Rebecca,1,9,ASH,5.1,26,5,26.41666667,179,63.9,50,S,L
Lake Rebecca,1,10,ASH,12.6,29,6,29.5,188,93.2,60,C,L
Lake Rebecca,1,11,ASH,7.9,34,0,34,224,69.7,60,I,L
Lake Rebecca,1,12,CW,14.6,34,2,34.16666667,234,81.8,35,D,L
Lake Rebecca,1,13,CW,15.1,25,5,25.41666667,244,78.2,60,C,L
Lake Rebecca,1,14,AE,6.1,32,0,32,258,24.7,20,S,L
Lake Rebecca,1,15,AE,5.5,26,6,26.5,274,38.5,40,S,L
Lake Rebecca,1,16,CW,16.2,15,8,15.66666667,271,98.8,40,D,L
Lake Rebecca,1,17,AE,9,8,5,8.416666667,271,45.1,60,I,L
Lake Rebecca,1,18,CW,11.5,32,7,32.58333333,273,80.5,40,C,L
Lake Rebecca,1,19,CW,17.8,28,1,28.08333333,332,96.6,35,D,L
Lake Rebecca,1,20,CW,29.5,19,6,19.5,350,90.8,20,D,L
Lake Rebecca,2,1,SM,11.5,23,7,23.58333333,13,63.5,25,D,L
Lake Rebecca,2,2,SM,15.4,24,4,24.33333333,31,71.6,15,D,L
Lake Rebecca,2,3,SM,7.5,18,9,18.75,349,44.9,40,S,L
