Site ID,Core ID,Species,Skeleton (Y/N),Measured (Y/N),Innermost Year,Notes
LR,0306B,ASH,,,1942,
LR,0305A,ASH,,,1935,
LR,0206A,ASH,,,1949,
LR,0202A,SM,,,1956,"""injuries"": 1970s, 1960s"
LR,0215A,SM,,,1964,"""injuries"": 2000s"
LR,0321A,SM,,,1963,"""injuries"": 1990s, 1980s"
LR,0309A,ASH,,,1914,
LR,0222A,SM,,,1974,"""injuries"": 1990s, 1980s"
LR,0420B,SM,,,1955,"""injuries"": 1970s, 1980s"
LR,0420A,SM,,,1949,"""injuries"": 1990s, 1970s, 1960s, 1950s"
LR,0216B,SM,,,1959,"""injuries"": 1970s, 1960s"
LR,0505B,SM,,,1950,"""injuries"": 1970s, 1960s, 1950s"
LR,0415A,SM,,,1946,"""injuries"": 1990s, 1970s, 1960s, 1950s"
LR,0508B,SM,,,1946,"""injuries"": 1990s, 1980s, 1970s, 1950s"
LR,0223B,SM,,,1958,"""injuries"": 1980s"
LR,0218B,SM,,,1964,"""injuries"": 1960s"
LR,0110B,ASH,,,1950,
LR,0211B,SM,,,1962,"""injuries"": 1980s, 1970s"
LR,0229A,SM,,,1960,"""injuries"": 1990s, 1970s, 1960s"
LR,0406A,SM,,,1962,"""injuries"": 1980s, 1970s, 1960s"
LR,0208B,SM,,,1962,"""injuries"": 2010s, 1980s, 1960s"
LR,0206B,ASH,,,1957,
LR,0211A,SM,,,1956,"""injuries"": 1990s, 1960s"
LR,0318B,SM,,,1963,"""injuries"": 1980s, 1970s"
LR,0111A,ASH,,,1967,
LR,0210B,SM,,,1962,"""injures"": 1960s, 1970s"
LR,0202B,SM,,,1960,"""injures"": 1960s"
LR,0304A,ASH,,,1947,
LR,0222B,SM,,,1974,"""injuries"": 1980s, 1970s"
LR,0218A,SM,,,1960,"""injuries"": 1990s, 1980s, 1970s, 1960s"
LR,0224A,SM,,,1967,"""injuries"": 1980s, 1970s"
LR,0225B,SM,,,1956,"""injuries"": 2000s, 1990s"
LR,0415B,SM,,,1955,"""injuries"": 1990s, 1980s, 1970s, 1960s, 1950s"
LR,0411B,SM,,,1947,"""injuries"": 1980s, 1970s"
LR,0219B,SM,,,1954,"""injuries"": 1990s, 1970s, 1960s"
LR,0110A,ASH,,,1946,
LR,010XB,,,,1947,
LR,0201B,SM,,,1955,"""injuries"": 1990s, 1980s, 1970s"
LR,0509B,ASH,,,1990,
LR,0316A,SM,,,1960,"""injuries"": 1970s, 1960s"
LR,0408B,SM,,,1950,"""injuries"": 1990s, 1970s, 1960s, 1950s"
LR,0231B,SM,,,1966,"""injuries"": 1970s"
LR,0217B,SM,,,1969,"""injuries"": 1990s, 1980s"
LR,0215B,SM,,,1957,
LR,0317A,SM,,,1954,"""injuries"": 1970s"
LR,010X,,,,1951,
LR,0409B,ASH,,,1948,
LR,0316B,SM,,,1956,"""injuries"": 1970s, 1960s"
LR,0305B,ASH,,,1942,
LR,0312A,SM,,,1956,"""injuries"": 1970s, 1960s"
LR,0309B,ASH,,,1953,
LR,0315A,SM,,,1966,"""injuries"": 1990s, 1980s, 1970s"
LR,0205A,SM,,,1949,"""injuries"": 2010s, 1990s"
LR,0208A,SM,,,1954,"""injuries"": 1970s, 1960s"
LR,0213A,SM,,,1951,"""injuries"": 1990s"
LR,0231A,SM,,,1974,
LR,0505A,SM,,,1947,"""injuries"": 1990s, 1970s, 1960s, 1950s"
LR,0306A,ASH,,,1941,
LR,0232A,SM,,,1954,"""injuries"": 1990s"
LR,0402B,SM,,,1950,
LR,0412B,SM,,,1966,
LR,0319B,SM,,,1963,"""injuries"": 2000s, 1990s, 1980s"
