Site,Plot,Tree #,Species,Spp,Pith Score,Match Score,Core Condition,Rings
Bagley Bottoms,4,1,ASH,ACSA,C,B,A,43
Bagley Bottoms,4,2,SM,ACSA,C,C,A,45
Bagley Bottoms,4,3,SM,ACSA,B,A,B,41
Bagley Bottoms,4,4,SM,ACSA,B,A,B,40
Bagley Bottoms,4,5,SM,ACSA,B,A,B,47
Bagley Bottoms,4,6,AE,ACSA,C,C,A,51
Bagley Bottoms,4,7,SM,ACSA,A,C,A,47
Bagley Bottoms,4,8,SM,ACSA,C,B,A,40
Bagley Bottoms,4,9,SM,ACSA,C,C,B,45
Bagley Bottoms,4,10,SM,ACSA,C,C,A,49
Bagley Bottoms,4,11,SM,ACSA,,,,52
Bagley Bottoms,4,12,SM,ACSA,B,C,B,41
Bagley Bottoms,4,13,SM,ACSA,C,C,A,51
Bagley Bottoms,4,14,SM,ULAM,B,C,B,45
Bagley Bottoms,4,15,SM,ULAM,,,,45
Bagley Bottoms,5,1,CW,ACSA,C,A,A,50
Bagley Bottoms,5,2,SM,ULAM,A,B,A,47
Bagley Bottoms,5,3,SM,ACSA,C,A,A,46
Bagley Bottoms,5,4,SM,ACSA,A,C,B,48
Bagley Bottoms,5,5,SM,ACSA,C,B,A,46
Bagley Bottoms,5,6,SM,ACSA,C,B,B,45
Bagley Bottoms,5,7,SM,ACSA,C,C,A,40
Bagley Bottoms,5,8,SM,ACSA,B,,B,38
Bagley Bottoms,5,9,CW,ULAM,C,B,C,48
Bagley Bottoms,5,10,SM,ACSA,C,,B,52
Bagley Bottoms,5,11,SM,ACSA,B,C,A,50
Bagley Bottoms,10,1,SWO,FRPE,B,B,A,47
Bagley Bottoms,10,2,SWO,ACSA,C,B,A,46
Bagley Bottoms,10,3,HB,ACSA,A,B,B,48
Bagley Bottoms,10,4,SWO,ACSA,B,C,B,46
Bagley Bottoms,10,5,SWO,ACSA,A,A,B,48
Bagley Bottoms,10,6,SM,FRPE,C,,B,48
Bagley Bottoms,10,7,SM,ACSA,B,B,A,41
Bagley Bottoms,10,8,SM,ACSA,B,C,B,45
Bagley Bottoms,8,1,SM,FRPE,A,C,A,59
Bagley Bottoms,8,2,SM,ULAM,C,C,A,49
Bagley Bottoms,8,3,SM,ACSA,A,B,A,45
Bagley Bottoms,8,4,SM,ACSA,C,C,A,47
Bagley Bottoms,8,5,SM,ULAM,B,A,B,46
Bagley Bottoms,8,6,SM,ACSA,,,,44
Bagley Bottoms,8,7,AE,ULAM,C,B,B,49
Bagley Bottoms,8,8,SM,ULAM,,,,45
Bagley Bottoms,8,9,AE,FRPE,B,B,A,59
Bagley Bottoms,7,1,?,ACSA,C,C,C,47
Bagley Bottoms,7,2,ASH,ACSA,A,A,A,59
Bagley Bottoms,7,3,SM,ACSA,C,C,B,37
Bagley Bottoms,7,4,?,ACSA,C,B,C,73
Bagley Bottoms,7,5,SM,ULAM,,,,58
Bagley Bottoms,7,6,ASH,ACSA,C,B,A,64
Bagley Bottoms,7,7,SM,ACSA,A,C,A,60
Bagley Bottoms,7,8,SM,ACSA,C,C,A,61
Bagley Bottoms,7,9,AE,ACSA,B,A,B,56
Bagley Bottoms,7,10,AE,ACSA,A,A,A,NA
Bagley Bottoms,7,11,AE,ACSA,C,B,A,65
Bagley Bottoms,7,12,SM,ACSA,C,C,A,59
Bagley Bottoms,7,13,SM,ACSA,,,,NA
Bagley Bottoms,9,1,SM,ACSA,A,C,C,68
Bagley Bottoms,9,2,SM,PODE,C,C,C,70
Bagley Bottoms,9,3,SM,ACSA,C,B,A,64
Bagley Bottoms,9,4,CW,ACSA,C,A,C,68
Bagley Bottoms,9,5,SM,ACSA,C,C,A,66
Bagley Bottoms,9,6,SM,ACSA,C,C,B,68
Bagley Bottoms,9,7,AE,ACSA,A,A,B,66
Bagley Bottoms,9,8,SM,ACSA,A,C,B,71
Bagley Bottoms,9,9,SM,ACSA,B,,A,57
Bagley Bottoms,9,10,SM,PODE,C,,A,70
Bagley Bottoms,9,11,SM,ACSA,B,B,A,59
Bagley Bottoms,9,12,SM,ACSA,B,C,A,62
Bagley Bottoms,9,13,SM,?,C,B,A,62
Bagley Bottoms,9,14,SM,FRPE,A,C,A,69
Bagley Bottoms,9,15,SM,ACSA,B,B,A,65
Bagley Bottoms,9,16,SM,?,C,C,A,63
Bagley Bottoms,9,17,SM,ACSA,C,,B,NA
Bagley Bottoms,9,18,SM,FRPE,C,C,A,66
Bagley Bottoms,9,19,SM,ACSA,C,C,A,68
Bagley Bottoms,2,1,AE,ACSA,C,,A,65
Bagley Bottoms,2,2,AE,ULAM,C,B,A,66
Bagley Bottoms,2,3,SM,ULAM,A,C,A,61
Bagley Bottoms,2,4,AE,ULAM,A,B,A,64
Bagley Bottoms,2,5,SM,ACSA,C,B,A,65
Bagley Bottoms,2,6,SM,ACSA,A,A,A,NA
Bagley Bottoms,2,7,SM,ACSA,C,C,A,79
Bagley Bottoms,2,8,SM,ACSA,C,C,A,82
Bagley Bottoms,2,9,SM,ACSA,C,A,A,89
Bagley Bottoms,2,10,SM,ACSA,B,B,B,87
Bagley Bottoms,2,11,AE,ACSA,A,C,A,80
Bagley Bottoms,2,12,SM,ACSA,C,C,A,97
Bagley Bottoms,2,13,SM,ULAM,C,C,A,39
Bagley Bottoms,3,1,ASH,ACSA,C,B,A,NA
Bagley Bottoms,3,2,SM,ULAM,C,B,A,65
Bagley Bottoms,3,3,SM,ACSA,C,B,B,69
Bagley Bottoms,3,4,SM,ACSA,C,C,B,75
Bagley Bottoms,3,5,SM,ACSA,B,B,A,67
Bagley Bottoms,3,6,ASH,PODE,B,,A,62
Bagley Bottoms,3,7,SM,ACSA,C,,A,63
Bagley Bottoms,3,8,SM,ACSA,C,,A,67
Bagley Bottoms,3,9,ASH,ULAM,C,,C,84
Bagley Bottoms,3,10,AE,ACSA,A,B,A,77
Bagley Bottoms,3,11,SM,ACSA,C,C,A,71
Bagley Bottoms,3,12,SM,ACSA,C,C,B,72
Bagley Bottoms,3,13,AE,ACSA,C,C,B,72
Bagley Bottoms,3,14,SM,ACSA,C,C,B,79
Bagley Bottoms,3,15,AE,ACSA,C,B,A,81
Bagley Bottoms,3,16,AE,ACSA,B,C,B,65
Bagley Bottoms,1,1,SM,ACSA,C,B,A,79
Bagley Bottoms,1,2,SM,ACSA,C,C,A,77
Bagley Bottoms,1,3,SM,ACSA,C,C,A,66
Bagley Bottoms,1,4,SM,ACSA,B,C,A,67
Bagley Bottoms,1,5,SM,ACSA,B,B,A,82
Bagley Bottoms,1,6,SM,QUBI,B,C,A,124
Bagley Bottoms,1,7,SM,QUBI,A,B,B,96
Bagley Bottoms,1,8,SM,CEOC,C,B,A,41
Bagley Bottoms,1,9,SM,QUBI,B,C,B,79
Bagley Bottoms,1,10,SM,QUBI,,,,131
