Site,Plot,Species,TPA,BA,IV,,
Bagley Bottoms,BB01,ACSA,130,21.34079298,100,,
Bagley Bottoms,BB01,ACNE,0,0,0,,
Bagley Bottoms,BB01,BENI,0,0,0,,
Bagley Bottoms,BB01,CEOC,0,0,0,,
Bagley Bottoms,BB01,FRPE,0,0,0,,
Bagley Bottoms,BB01,PODE,0,0,0,,
Bagley Bottoms,BB01,QUBI,0,0,0,,
Bagley Bottoms,BB01,QUEL,0,0,0,,
Bagley Bottoms,BB01,ROPS,0,0,0,,
Bagley Bottoms,BB01,TIAM,0,0,0,,
Bagley Bottoms,BB01,ULAM,0,0,0,,
Bagley Bottoms,BB02,ACSA,90,8.84006136,57.6581224,,
Bagley Bottoms,BB02,ULAM,40,10.34182026,42.34187762,,
Bagley Bottoms,BB02,ACNE,0,0,0,,
Bagley Bottoms,BB02,BENI,0,0,0,,
Bagley Bottoms,BB02,CEOC,0,0,0,,
Bagley Bottoms,BB02,FRPE,0,0,0,,
Bagley Bottoms,BB02,PODE,0,0,0,,
Bagley Bottoms,BB02,QUBI,0,0,0,,
Bagley Bottoms,BB02,QUEL,0,0,0,,
Bagley Bottoms,BB02,ROPS,0,0,0,,
Bagley Bottoms,BB02,TIAM,0,0,0,,
Bagley Bottoms,BB03,ACSA,90,11.12556006,61.08237285,,
Bagley Bottoms,BB03,FRPE,30,4.1464035,21.65793815,,
Bagley Bottoms,BB03,ULAM,40,1.6067484,17.25968902,,
Bagley Bottoms,BB03,ACNE,0,0,0,,
Bagley Bottoms,BB03,BENI,0,0,0,,
Bagley Bottoms,BB03,CEOC,0,0,0,,
Bagley Bottoms,BB03,PODE,0,0,0,,
Bagley Bottoms,BB03,QUBI,0,0,0,,
Bagley Bottoms,BB03,QUEL,0,0,0,,
Bagley Bottoms,BB03,ROPS,0,0,0,,
Bagley Bottoms,BB03,TIAM,0,0,0,,
Bagley Bottoms,BB04,ACSA,120,17.2878165,87.3382446,,
Bagley Bottoms,BB04,FRPE,10,1.19464416,6.64521689,,
Bagley Bottoms,BB04,ULAM,10,0.95030496,6.01653849,,
Bagley Bottoms,BB04,ACNE,0,0,0,,
Bagley Bottoms,BB04,BENI,0,0,0,,
Bagley Bottoms,BB04,CEOC,0,0,0,,
Bagley Bottoms,BB04,PODE,0,0,0,,
Bagley Bottoms,BB04,QUBI,0,0,0,,
Bagley Bottoms,BB04,QUEL,0,0,0,,
Bagley Bottoms,BB04,ROPS,0,0,0,,
Bagley Bottoms,BB04,TIAM,0,0,0,,
Bagley Bottoms,BB05,ACSA,90,11.63752704,85.7853833,,
Bagley Bottoms,BB05,PODE,20,1.32870348,14.2146167,,
Bagley Bottoms,BB05,ACNE,0,0,0,,
Bagley Bottoms,BB05,BENI,0,0,0,,
Bagley Bottoms,BB05,CEOC,0,0,0,,
Bagley Bottoms,BB05,FRPE,0,0,0,,
Bagley Bottoms,BB05,QUBI,0,0,0,,
Bagley Bottoms,BB05,QUEL,0,0,0,,
Bagley Bottoms,BB05,ROPS,0,0,0,,
Bagley Bottoms,BB05,TIAM,0,0,0,,
Bagley Bottoms,BB05,ULAM,0,0,0,,
Bagley Bottoms,BB07,ACSA,60,9.6931215,49.96283212,,ACNE
Bagley Bottoms,BB07,FRPE,20,1.707102,12.42731376,,ACSA
Bagley Bottoms,BB07,ULAM,30,3.00335418,19.86889538,,BENI
Bagley Bottoms,BB07,ACNE,0,0,0,,CEOC
Bagley Bottoms,BB07,BENI,0,0,0,,FRPE
Bagley Bottoms,BB07,CEOC,0,0,0,,PODE
Bagley Bottoms,BB07,PODE,0,0,0,,QUBI
Bagley Bottoms,BB07,QUBI,0,0,0,,QUEL
Bagley Bottoms,BB07,QUEL,0,0,0,,ROPS
Bagley Bottoms,BB07,ROPS,0,0,0,,TIAM
Bagley Bottoms,BB07,TIAM,0,0,0,,ULAM
Bagley Bottoms,BB08,ACSA,70,15.2046612,82.12118455,,
Bagley Bottoms,BB08,ULAM,20,2.38018014,17.87881545,,
Bagley Bottoms,BB08,ACNE,0,0,0,,
Bagley Bottoms,BB08,BENI,0,0,0,,
Bagley Bottoms,BB08,CEOC,0,0,0,,
Bagley Bottoms,BB08,FRPE,0,0,0,,
Bagley Bottoms,BB08,PODE,0,0,0,,
Bagley Bottoms,BB08,QUBI,0,0,0,,
Bagley Bottoms,BB08,QUEL,0,0,0,,
Bagley Bottoms,BB08,ROPS,0,0,0,,
Bagley Bottoms,BB08,TIAM,0,0,0,,
Bagley Bottoms,BB09,ACSA,170,29.23333092,87.8333368,,
Bagley Bottoms,BB09,PODE,10,2.13818616,5.78374552,,
