Site,Plot,Species,TPA,BA,IV
Bagley Bottoms,BB01,ACSA,130,25.3812192,100
Bagley Bottoms,BB01,ACNE,0,0,0
Bagley Bottoms,BB01,BENI,0,0,0
Bagley Bottoms,BB01,CEOC,0,0,0
Bagley Bottoms,BB01,FRPE,0,0,0
Bagley Bottoms,BB01,PODE,0,0,0
Bagley Bottoms,BB01,QUBI,0,0,0
Bagley Bottoms,BB01,QUEL,0,0,0
Bagley Bottoms,BB01,ROPS,0,0,0
Bagley Bottoms,BB01,TIAM,0,0,0
Bagley Bottoms,BB01,ULAM,0,0,0
Bagley Bottoms,BB02,ACSA,90,11.8157274,57.6581224
Bagley Bottoms,BB02,ULAM,40,1.6529256,42.34187762
Bagley Bottoms,BB02,ACNE,0,0,0
Bagley Bottoms,BB02,BENI,0,0,0
Bagley Bottoms,BB02,CEOC,0,0,0
Bagley Bottoms,BB02,FRPE,0,0,0
Bagley Bottoms,BB02,PODE,0,0,0
Bagley Bottoms,BB02,QUBI,0,0,0
Bagley Bottoms,BB02,QUEL,0,0,0
Bagley Bottoms,BB02,ROPS,0,0,0
Bagley Bottoms,BB02,TIAM,0,0,0
Bagley Bottoms,BB03,ACSA,90,13.826496,61.08237285
Bagley Bottoms,BB03,FRPE,30,5.613378,21.65793815
Bagley Bottoms,BB03,ULAM,40,2.4921144,17.25968902
Bagley Bottoms,BB03,ACNE,0,0,0
Bagley Bottoms,BB03,BENI,0,0,0
Bagley Bottoms,BB03,CEOC,0,0,0
Bagley Bottoms,BB03,PODE,0,0,0
Bagley Bottoms,BB03,QUBI,0,0,0
Bagley Bottoms,BB03,QUEL,0,0,0
Bagley Bottoms,BB03,ROPS,0,0,0
Bagley Bottoms,BB03,TIAM,0,0,0
Bagley Bottoms,BB04,ACSA,120,25.9072878,87.3382446
Bagley Bottoms,BB04,FRPE,10,2.2807416,6.64521689
Bagley Bottoms,BB04,ULAM,10,0.5129184,6.01653849
Bagley Bottoms,BB04,ACNE,0,0,0
Bagley Bottoms,BB04,BENI,0,0,0
Bagley Bottoms,BB04,CEOC,0,0,0
Bagley Bottoms,BB04,PODE,0,0,0
Bagley Bottoms,BB04,QUBI,0,0,0
Bagley Bottoms,BB04,QUEL,0,0,0
Bagley Bottoms,BB04,ROPS,0,0,0
Bagley Bottoms,BB04,TIAM,0,0,0
Bagley Bottoms,BB05,ACSA,90,12.6074058,85.7853833
Bagley Bottoms,BB05,PODE,20,10.737411,14.2146167
Bagley Bottoms,BB05,ACNE,0,0,0
Bagley Bottoms,BB05,BENI,0,0,0
Bagley Bottoms,BB05,CEOC,0,0,0
Bagley Bottoms,BB05,FRPE,0,0,0
Bagley Bottoms,BB05,QUBI,0,0,0
Bagley Bottoms,BB05,QUEL,0,0,0
Bagley Bottoms,BB05,ROPS,0,0,0
Bagley Bottoms,BB05,TIAM,0,0,0
Bagley Bottoms,BB05,ULAM,0,0,0
Bagley Bottoms,BB07,ACSA,60,16.1789274,49.96283212
Bagley Bottoms,BB07,FRPE,20,1.9621068,12.42731376
Bagley Bottoms,BB07,ULAM,30,1.3834374,19.86889538
Bagley Bottoms,BB07,ACNE,0,0,0
Bagley Bottoms,BB07,BENI,0,0,0
Bagley Bottoms,BB07,CEOC,0,0,0
Bagley Bottoms,BB07,PODE,0,0,0
Bagley Bottoms,BB07,QUBI,0,0,0
Bagley Bottoms,BB07,QUEL,0,0,0
Bagley Bottoms,BB07,ROPS,0,0,0
Bagley Bottoms,BB07,TIAM,0,0,0
Bagley Bottoms,BB08,ACSA,70,7.8510936,82.12118455
Bagley Bottoms,BB08,ULAM,20,1.129584,17.87881545
Bagley Bottoms,BB08,ACNE,0,0,0
Bagley Bottoms,BB08,BENI,0,0,0
Bagley Bottoms,BB08,CEOC,0,0,0
Bagley Bottoms,BB08,FRPE,0,0,0
Bagley Bottoms,BB08,PODE,0,0,0
Bagley Bottoms,BB08,QUBI,0,0,0
Bagley Bottoms,BB08,QUEL,0,0,0
Bagley Bottoms,BB08,ROPS,0,0,0
Bagley Bottoms,BB08,TIAM,0,0,0
Bagley Bottoms,BB09,ACSA,170,21.5539656,87.8333368
Bagley Bottoms,BB09,PODE,10,4.1916414,5.78374552
Bagley Bottoms,BB09,ULAM,10,0.5018286,6.382917675
Bagley Bottoms,BB09,ACNE,0,0,0
Bagley Bottoms,BB09,BENI,0,0,0
Bagley Bottoms,BB09,CEOC,0,0,0
Bagley Bottoms,BB09,FRPE,0,0,0
Bagley Bottoms,BB09,QUBI,0,0,0
Bagley Bottoms,BB09,QUEL,0,0,0
Bagley Bottoms,BB09,ROPS,0,0,0
Bagley Bottoms,BB09,TIAM,0,0,0
Bagley Bottoms,BB10,ACSA,30,2.0102838,32.25164548
Bagley Bottoms,BB10,CEOC,10,0.1968894,14.40166592
Bagley Bottoms,BB10,QUBI,40,13.2684306,42.71415497
Bagley Bottoms,BB10,ACNE,0,0,0
Bagley Bottoms,BB10,BENI,0,0,0
Bagley Bottoms,BB10,FRPE,0,0,0
Bagley Bottoms,BB10,PODE,0,0,0
Bagley Bottoms,BB10,QUEL,0,0,0
Bagley Bottoms,BB10,ROPS,0,0,0
Bagley Bottoms,BB10,TIAM,0,0,0
