Site,Plot,Species,Count,BA,IV,RelMn,RelMx,RelRng,RelMean,AbsMn,AbsMx,AbsRng,AbsMean
Bagley,BB1,ACSA,13,21.34079298,200,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765
Bagley,BB10,ACSA,3,3.02522472,64.50329095,6.900000095,9.600000381,2.700000286,8.608333389,18645,18752,107,18718.26263
Bagley,BB10,CEOC,1,1.82649006,28.80333184,6.900000095,9.600000381,2.700000286,8.608333389,18645,18752,107,18718.26263
Bagley,BB10,QUBI,4,3.96909396,85.42830993,6.900000095,9.600000381,2.700000286,8.608333389,18645,18752,107,18718.26263
Bagley,BB2,ACSA,9,8.84006136,115.3162448,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653
Bagley,BB2,ULAM,4,10.34182026,84.68375524,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653
Bagley,BB3,ACSA,9,11.12556006,122.1647457,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37
Bagley,BB3,FRPE,3,4.1464035,43.31587629,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37
Bagley,BB3,ULAM,4,1.6067484,34.51937804,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37
Bagley,BB4,ACSA,12,17.2878165,174.6764892,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832
Bagley,BB4,FRPE,1,1.19464416,13.29043378,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832
Bagley,BB4,ULAM,1,0.95030496,12.03307698,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832
Bagley,BB5,ACSA,9,11.63752704,171.5707666,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436
Bagley,BB5,PODE,2,1.32870348,28.4292334,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436
Bagley,BB7,?,2,3.6228195,35.48191749,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198
Bagley,BB7,ACSA,6,9.6931215,99.92566424,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198
Bagley,BB7,FRPE,2,1.707102,24.85462752,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198
Bagley,BB7,ULAM,3,3.00335418,39.73779075,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198
Bagley,BB8,ACSA,7,15.2046612,164.2423691,9.899999619,10.80000019,0.900000572,10.28461544,18737,18792,55,18772
Bagley,BB8,ULAM,2,2.38018014,35.7576309,9.899999619,10.80000019,0.900000572,10.28461544,18737,18792,55,18772
Bagley,BB9,ACSA,17,29.23333092,175.6666736,8,8.699999809,0.699999809,8.329166532,18690,18721,31,18706.55882
Bagley,BB9,PODE,1,2.13818616,11.56749104,8,8.699999809,0.699999809,8.329166532,18690,18721,31,18706.55882
Bagley,BB9,ULAM,1,2.54461824,12.76583535,8,8.699999809,0.699999809,8.329166532,18690,18721,31,18706.55882
MCBC,BC1,FRPE,3,7.37020836,120.020519,9.899999619,11,1.100000381,10.24166663,19912,19951,39,19927.04
MCBC,BC1,PODE,1,1.98967374,35.56952274,9.899999619,11,1.100000381,10.24166663,19912,19951,39,19927.04
MCBC,BC1,TIAM,1,0.73389024,23.6389764,9.899999619,11,1.100000381,10.24166663,19912,19951,39,19927.04
MCBC,BC1,ULAM,1,0.43201134,20.77098187,9.899999619,11,1.100000381,10.24166663,19912,19951,39,19927.04
MCBC,BC2,ACSA,6,8.6759505,92.33521667,8.399999619,9,0.600000381,8.571999969,19863,19892,29,19875.4
MCBC,BC2,PODE,5,10.38616128,92.34703744,8.399999619,9,0.600000381,8.571999969,19863,19892,29,19875.4
MCBC,BC2,ULAM,1,1.43134776,15.31774588,8.399999619,9,0.600000381,8.571999969,19863,19892,29,19875.4
Goose Island,GI10,ACNE,1,0.45164574,19.66340605,4.699999809,5.800000191,1.100000381,5.267999935,19289,19337,48,19312.46535
Goose Island,GI10,BENI,4,4.36985388,109.1741843,4.699999809,5.800000191,1.100000381,5.267999935,19289,19337,48,19312.46535
Goose Island,GI10,CEOC,1,1.19464416,28.51019931,4.699999809,5.800000191,1.100000381,5.267999935,19289,19337,48,19312.46535
Goose Island,GI10,FRPE,1,2.38236174,42.65221038,4.699999809,5.800000191,1.100000381,5.267999935,19289,19337,48,19312.46535
Goose Island,GI12,BENI,3,4.6560798,74.22364991,5.099999905,6.699999809,1.599999905,6.045833349,19301,19353,52,19333.60606
Goose Island,GI12,FRPE,3,7.67955924,98.07057806,5.099999905,6.699999809,1.599999905,6.045833349,19301,19353,52,19333.60606
Goose Island,GI12,QUEL,2,0.3430566,27.70577203,5.099999905,6.699999809,1.599999905,6.045833349,19301,19353,52,19333.60606
Goose Island,GI13,BENI,1,1.16257464,26.11392643,4.599999905,9,4.400000095,6.476923044,19265,19414,149,19333.25
Goose Island,GI13,QUBI,2,0.78499422,32.35243056,4.599999905,9,4.400000095,6.476923044,19265,19414,149,19333.25
Goose Island,GI13,QUEL,5,3.97498428,106.8520083,4.599999905,9,4.400000095,6.476923044,19265,19414,149,19333.25
Goose Island,GI13,ULAM,1,1.82649006,34.68163476,4.599999905,9,4.400000095,6.476923044,19265,19414,149,19333.25
Goose Island,GI14,CEOC,1,0.57861486,17.16557791,7.099999905,10.69999981,3.599999905,8.959259316,19353,19486,133,19420.0495
Goose Island,GI14,FRPE,4,3.42151236,80.24620902,7.099999905,10.69999981,3.599999905,8.959259316,19353,19486,133,19420.0495
Goose Island,GI14,QUBI,3,1.86979482,52.89835222,7.099999905,10.69999981,3.599999905,8.959259316,19353,19486,133,19420.0495
