Site,Plot,Species,Count,FldCls,MedDur,MedPk,AveFreq,AveInun,BA,IV,Shan,Simp,Rich
Bagley,BB1,ACSA,13,80,4,125,1.956944444,31.46944444,21.34079298,200,0,1,1
Bagley,BB2,ACSA,9,30,8,119.5,1.33125,18.803125,8.84006136,115.3162448,0.693147181,1.968736999,2
Bagley,BB2,ULAM,4,30,8,119.5,1.33125,18.803125,10.34182026,84.68375524,0.693147181,1.968736999,2
Bagley,BB3,ACSA,9,10,6,116,0.593421053,5.834210526,11.12556006,122.1647457,1.083575524,2.844444444,3
Bagley,BB3,FRPE,3,10,6,116,0.593421053,5.834210526,4.1464035,43.31587629,1.083575524,2.844444444,3
Bagley,BB3,ULAM,4,10,6,116,0.593421053,5.834210526,1.6067484,34.51937804,1.083575524,2.844444444,3
Bagley,BB4,ACSA,12,10,8,120,1.115,14.90333333,17.2878165,174.6764892,1.083575524,1.315789474,3
Bagley,BB4,FRPE,1,10,8,120,1.115,14.90333333,1.19464416,13.29043378,1.083575524,1.315789474,3
Bagley,BB4,ULAM,1,10,8,120,1.115,14.90333333,0.95030496,12.03307698,1.083575524,1.315789474,3
Bagley,BB5,ACSA,9,20,9,119,0.988235294,12.10882353,11.63752704,171.5707666,0.693147181,1.423529412,2
Bagley,BB5,PODE,2,20,9,119,0.988235294,12.10882353,1.32870348,28.4292334,0.693147181,1.423529412,2
Bagley,BB7,?,2,20,9,119,1.243333333,17.34,3.6228195,35.48191749,1.386294361,3.188679245,4
Bagley,BB7,ACSA,6,20,9,119,1.243333333,17.34,9.6931215,99.92566424,1.386294361,3.188679245,4
Bagley,BB7,FRPE,2,20,9,119,1.243333333,17.34,1.707102,24.85462752,1.386294361,3.188679245,4
Bagley,BB7,ULAM,3,20,9,119,1.243333333,17.34,3.00335418,39.73779075,1.386294361,3.188679245,4
Bagley,BB8,ACSA,7,10,7,119,0.8,8.303571429,15.2046612,164.2423691,0.693147181,1.528301887,2
Bagley,BB8,ULAM,2,10,7,119,0.8,8.303571429,2.38018014,35.7576309,0.693147181,1.528301887,2
Bagley,BB9,ACSA,17,30,9,121,1.566666667,22.1125,29.23333092,175.6666736,1.083575524,1.240549828,3
Bagley,BB9,PODE,1,30,9,121,1.566666667,22.1125,2.13818616,11.56749104,1.083575524,1.240549828,3
Bagley,BB9,ULAM,1,30,9,121,1.566666667,22.1125,2.54461824,12.76583535,1.083575524,1.240549828,3
Bagley,BB10,ACSA,3,40,11,130.5,1.372222222,19.725,3.02522472,64.50329095,1.083575524,2.461538462,3
Bagley,BB10,CEOC,1,40,11,130.5,1.372222222,19.725,1.82649006,28.80333184,1.083575524,2.461538462,3
Bagley,BB10,QUBI,4,40,11,130.5,1.372222222,19.725,3.96909396,85.42830993,1.083575524,2.461538462,3
MCBC,BC1,FRPE,3,10,8,116.5,0.708333333,8.333333333,7.37020836,120.020519,1.386294361,3,1
MCBC,BC1,PODE,1,10,8,116.5,0.708333333,8.333333333,1.98967374,35.56952274,1.386294361,3,1
MCBC,BC1,TIAM,1,10,8,116.5,0.708333333,8.333333333,0.73389024,23.6389764,1.386294361,3,1
MCBC,BC1,ULAM,1,10,8,116.5,0.708333333,8.333333333,0.43201134,20.77098187,1.386294361,3,1
MCBC,BC2,ACSA,6,20,9,117,1.388888889,18.54444444,8.6759505,92.33521667,1.083575524,2.322580645,3
MCBC,BC2,PODE,5,20,9,117,1.388888889,18.54444444,10.38616128,92.34703744,1.083575524,2.322580645,3
MCBC,BC2,ULAM,1,20,9,117,1.388888889,18.54444444,1.43134776,15.31774588,1.083575524,2.322580645,3
Goose Island,GI10,ACNE,1,30,11,122.5,1.846666667,23.95666667,0.45164574,19.66340605,1.386294361,2.578947368,4
Goose Island,GI10,BENI,4,30,11,122.5,1.846666667,23.95666667,4.36985388,109.1741843,1.386294361,2.578947368,4
