Plot,Pool,RiverMile,RelMin,RelMax,RelRng,RelMean,RelMed,RelSd,AbsMin,AbsMax,AbsRng,AbsMean,AbsSd,AbsMed,FreqMin,FreqMax,FreqRng,FreqMean,FreqSd,FreqMed,MeanGSDur,MedGSDur,GSDurMin,GSDurMax,GSDurRng,GSDurSd,MeanMedEvDur,MedEvDur,MedEvDurMin,MedEvDurMax,MedEvDurRng,MedEvDurSd,MeanMaxDepth,MedMaxDepth,MinMaxDepth,MaxDepth,MaxDepthRng,MaxDepthSd,MeanPeakDay,MedPeakDay,MinPeakDay,MaxPeakDay,PeakDayRng,PeakDaySd,Anppt,Sprppt,Sumppt,Falppt,Wntppt,GSppt,AnTmean,SprTmean,SumTmean,FalTmean,GSTmean,AnTdMean,SprTdMean,SumTdMean,FalTdMean,GSTdMean,AnVPDMin,SprVPDMin,SumVPDMin,FalVPDMin,GSVPDMin,AnVPDMax,SprVPDMax,SumVPDMax,FalVPDMax,GSVPDMax,AnVPD,SprVPD,SumVPD,FalVPD,GSVPD,SSURGOCls
BB01,10,626,7.099999905,8,0.900000095,7.544444455,,0.248452,612.2375524,613.5826968,1.3451444,612.9139844,0.25363582,612.8937204,1.875,2.075,0.2,1.956944444,0.058810876,1.925,31.46944444,31.2125,26.675,38.425,11.75,3.13171008,10.44444444,4,9,12,3,0.895806416,1.808961988,1.849631579,1.517368421,2.138526316,0.621157895,0.180146651,122.4444444,121,121,125,4,1.739163982,34.36,9.64,13.23,7.87,3.62,24.22,47.9,47.8,71.16666667,50.56666667,64.13333333,38.9,36.13333333,61.16666667,41.36666667,53.21666667,0.86,1.026666667,1.293333333,0.773333333,1.206666667,10.38,10.63,18.30333333,10.22666667,16.00333333,2.59,5.828333333,9.798333333,5.5,8.605,1658A
BB02,10,626,8.5,9.100000381,0.600000381,8.738461641,,0.173375783,613.8779724,614.993458,1.1154856,614.3486592,0.216518491,614.33729,1.175,1.5,0.325,1.33125,0.101357967,1.3125,18.803125,18.775,15.875,21,5.125,1.446166133,9.75,8,8,11,3,1.089724736,1.914557112,1.892700517,1.773578947,2.102842105,0.329263158,0.125817736,118.8125,119,118,119,1,0.390312375,34.36,9.64,13.23,7.87,3.62,24.22,47.9,47.8,71.16666667,50.56666667,64.13333333,38.9,36.13333333,61.16666667,41.36666667,53.21666667,0.86,1.026666667,1.293333333,0.773333333,1.206666667,10.38,10.63,18.30333333,10.22666667,16.00333333,2.59,5.828333333,9.798333333,5.5,8.605,1658A
BB03,10,625,10.5,11.60000038,1.100000381,11.03846158,,0.307692315,615.3871588,617.6837468,2.296588,616.6460171,0.387296318,616.6666864,0.475,0.75,0.275,0.593421053,0.087675428,0.575,5.834210526,5.675,4.4,7.725,3.325,0.928432838,6,6,4,7,3,0.858395075,1.378415512,1.399578947,1.111052632,1.582157895,0.471105263,0.103513562,117.6052632,118,116,119,3,1.007588933,34.36,9.64,13.23,7.87,3.62,24.22,47.9,47.8,71.16666667,50.56666667,64.13333333,38.9,36.13333333,61.16666667,41.36666667,53.21666667,0.86,1.026666667,1.293333333,0.773333333,1.206666667,10.38,10.63,18.30333333,10.22666667,16.00333333,2.59,5.828333333,9.798333333,5.5,8.605,1658A
BB04,10,625,8.800000191,9.699999809,0.899999619,9.18749996,,0.202715916,614.2060564,615.3543504,1.148294,614.736513,0.229638813,614.7309908,0.975,1.25,0.275,1.115,0.075718778,1.1,14.90333333,14.7,12.2,17.725,5.525,1.412971652,10.16666667,8,9.5,11,1.5,0.53748385,1.885908341,1.876947368,1.704,2.002842105,0.298842105,0.098918211,119.3,119,119,120,1,0.4,34.34,9.63,13.24,7.86,3.63,24.21,48.1,47.9,71.33333333,50.66666667,64.26666667,39,36.3,61.36666667,41.43333333,53.36666667,0.87,1.033333333,1.3,0.783333333,1.216666667,10.4,10.63666667,18.39666667,10.21666667,16.06166667,2.600555556,5.835,9.848333333,5.5,8.639166667,1658A
BB05,10,624,9.399999619,10.5,1.100000381,9.714814787,,0.250486542,614.4357152,616.1089436,1.6732284,615.208824,0.30328483,615.1903084,0.75,1.125,0.375,0.988235294,0.077704969,0.975,12.10882353,12.2,7.725,15.25,7.525,1.80379382,9.411764706,9,7,11,4,0.911290199,1.715334365,1.704,1.488421053,1.973684211,0.485263158,0.105838356,119.1470588,119,118.5,120,1.5,0.588235294,34.34,9.63,13.24,7.86,3.63,24.21,48.1,47.9,71.33333333,50.66666667,64.26666667,39,36.3,61.36666667,41.43333333,53.36666667,0.87,1.033333333,1.3,0.783333333,1.216666667,10.4,10.63666667,18.39666667,10.21666667,16.06166667,2.600555556,5.835,9.848333333,5.5,8.639166667,1658A
BB07,10,624,8.399999619,9.399999619,1,8.880769106,,0.228741074,613.9763976,614.993458,1.0170604,614.4948353,0.246036787,614.4685236,1.075,1.425,0.35,1.243333333,0.103467655,1.25,17.34,1.774020857,14.15,20.175,6.025,1.774020857,10.26666667,9,9,11,2,0.853749898,1.937550447,1.973684211,1.773578947,2.102842105,0.329263158,0.108632406,119,119,118,120,2,0.365148372,34.3,9.6,13.23,7.85,3.63,24.17,48.2,48,71.5,50.8,64.4,39.1,36.4,61.46666667,41.53333333,53.46666667,0.88,1.043333333,1.32,0.803333333,1.238333333,10.38,10.61,18.36333333,10.19333333,16.03833333,2.610833333,5.826666667,9.841666667,5.498333333,8.638333333,Or
BB08,10,623,9.899999619,10.80000019,0.900000572,10.28461544,,0.210662537,614.7309908,616.5354528,1.804462,615.8792848,0.301452325,615.9120932,0.6,0.95,0.35,0.8,0.103509834,0.775,8.303571429,8.25,5.9,10.8,4.9,1.280585007,7.571428571,7,6,9,3,0.728431359,1.564394737,1.565131579,1.400526316,1.703894737,0.303368421,0.099062984,118.4642857,118.5,117,119,2,0.480486573,34.3,9.6,13.23,7.85,3.63,24.17,48.2,48,71.5,50.8,64.4,39.1,36.4,61.46666667,41.53333333,53.46666667,0.88,1.043333333,1.32,0.803333333,1.238333333,10.38,10.61,18.36333333,10.19333333,16.03833333,2.610833333,5.826666667,9.841666667,5.498333333,8.638333333,1658A
BB09,10,623,8,8.699999809,0.699999809,8.329166532,,0.188147057,613.188996,614.2060564,1.0170604,613.7322645,0.206508196,613.7467388,1.375,1.9,0.525,1.566666667,0.137057368,1.525,22.1125,21.85,19.25,26.675,7.425,1.910456425,9.083333333,9,8,10,2,0.731247032,1.719606259,1.808809009,1.441789474,1.882421053,0.440631579,0.166096923,119.1666667,119,118,121,3,0.687184271,34.28,9.58,13.25,7.83,3.63,24.17,48.2,48.06666667,71.53333333,50.83333333,64.45,39.2,36.53333333,61.46666667,41.63333333,53.51666667,0.88,1.05,1.326666667,0.8,1.245,10.37,10.58333333,18.39,10.16666667,16.04,2.611944444,5.816666667,9.858333333,5.483333333,8.6425,1658A
BB10,10,623,6.900000095,9.600000381,2.700000286,8.608333389,,0.895784856,611.712618,615.2231168,3.5104988,614.1162475,0.910068694,614.4357152,1.025,2.15,1.125,1.372222222,0.325415214,1.25,19.725,18.0125,12.85,41.7,28.85,6.951848275,9.861111111,11,8,13,5,1.152359362,1.844144333,1.808809009,1.461157895,2.205789474,0.744631579,0.172866518,120.0555556,119,118,130.5,12.5,2.639912082,34.28,9.58,13.25,7.83,3.63,24.17,48.2,48.06666667,71.53333333,50.83333333,64.45,39.2,36.53333333,61.46666667,41.63333333,53.51666667,0.88,1.05,1.326666667,0.8,1.245,10.37,10.58333333,18.39,10.16666667,16.04,2.611944444,5.816666667,9.858333333,5.483333333,8.6425,1658A
BC01,5a,731,9.899999619,11,1.100000381,10.24166663,,0.305391429,653.2808608,654.5603884,1.2795276,653.7742991,0.291013282,653.6745616,0.45,0.8,0.35,0.708333333,0.107367489,0.775,8.333333333,8.5,5.7,10.075,4.375,1.415268918,7.388888889,8,6,8.5,2.5,0.921284664,1.69416088,1.65953125,1.416458333,2.0415625,0.625104167,0.152039649,115.4166667,116,111.5,116.5,5,1.565691186,33.28,9.07,13.03,8.09,3.1,24.02,46.9,46.8,70.9,49.46666667,63.65,36.9,33.73333333,59.56666667,40.1,51.51666667,0.84,1.003333333,1.346666667,0.673333333,1.213333333,10.44,10.51333333,19.34666667,9.57,16.43333333,2.586111111,5.758333333,10.34666667,5.121666667,8.823333333,271
