Site,Plot,??tpa,acnetpa,acsatpa,benitpa,ceoctpa,frpetpa,podetpa,qubitpa,queltpa,ropstpa,tiamtpa,ulamtpa,tpatot,??%tpa,acne%tpa,acsa%tpa,beni%tpa,ceoc%tpa,frpe%tpa,pode%tpa,qubi%tpa,quel%tpa,rops%tpa,tiam%tpa,ulam%tpa,??ba,acneba,acsaba,beniba,ceocba,frpeba,podeba,qubiba,quelba,ropsba,tiamba,ulamba,batot,??%ba,acne%ba,acsa%ba,beni%ba,ceoc%ba,frpe%ba,pode%ba,qubi%ba,quel%ba,rops%ba,tiam%ba,ulam%ba,??iv,acneiv,acsaiv,beniiv,ceociv,frpeiv,podeiv,qubiiv,queliv,ropsiv,tiamiv,ulamiv,ivtot,??md,acnemd,acsamd,benimd,ceocmd,frpemd,podemd,qubimd,quelmd,ropsmd,tiammd,ulammd,totmd,??qmd,acneqmd,acsaqmd,beniqmd,ceocqmd,frpeqmd,podeqmd,qubiqmd,quelqmd,ropsqmd,tiamqmd,ulamqmd,totqmd,Shan,Simp,Rich
Bagley Bottoms,BB01,0,0,130,0,0,0,0,0,0,0,0,0,130,0,0,100,0,0,0,0,0,0,0,0,0,0,0,21.34079298,0,0,0,0,0,0,0,0,0,21.34079298,0,0,100,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,200,0,0,17.09230769,0,0,0,0,0,0,0,0,0,17.09230769,0,0,17.94933039,0,0,0,0,0,0,0,0,0,17.94933039,0,1,1
Bagley Bottoms,BB02,0,0,90,0,0,0,0,0,0,0,0,40,130,0,0,69.23076923,0,0,0,0,0,0,0,0,30.76923077,0,0,8.84006136,0,0,0,0,0,0,0,0,10.34182026,19.18188162,0,0,46.08547553,0,0,0,0,0,0,0,0,53.91452447,0,0,115.3162448,0,0,0,0,0,0,0,0,84.68375524,200,0,0,13.94444444,0,0,0,0,0,0,0,0,8,12.11538462,0,0,14.71880883,0,0,0,0,0,0,0,0,8.257723657,13.07537321,0.693147181,1.968736999,2
Bagley Bottoms,BB03,0,0,90,0,0,30,0,0,0,0,0,40,160,0,0,56.25,0,0,18.75,0,0,0,0,0,25,0,0,11.12556006,0,0,4.1464035,0,0,0,0,0,1.6067484,16.87871196,0,0,65.91474567,0,0,24.56587629,0,0,0,0,0,9.519378041,0,0,122.1647457,0,0,43.31587629,0,0,0,0,0,34.51937804,200,0,0,15,0,0,16.4,0,0,0,0,0,9.7,13.9375,0,0,15.92203225,0,0,17.57175764,0,0,0,0,0,10.13952662,15.03982214,1.083575524,2.844444444,3
Bagley Bottoms,BB04,0,0,120,0,0,10,0,0,0,0,0,10,140,0,0,85.71428571,0,0,7.142857143,0,0,0,0,0,7.142857143,0,0,17.2878165,0,0,1.19464416,0,0,0,0,0,0.95030496,19.43276562,0,0,88.96220352,0,0,6.147576641,0,0,0,0,0,4.890219841,0,0,174.6764892,0,0,13.29043378,0,0,0,0,0,12.03307698,200,0,0,17.31538462,0,0,19.4,0,0,0,0,0,9.2,16.91333333,0,0,18.13439147,0,0,19.4,0,0,0,0,0,9.2,17.76913054,1.083575524,1.315789474,3
Bagley Bottoms,BB05,0,0,90,0,0,0,20,0,0,0,0,0,110,0,0,81.81818182,0,0,0,18.18181818,0,0,0,0,0,0,0,11.63752704,0,0,0,1.32870348,0,0,0,0,0,12.96623052,0,0,89.75258478,0,0,0,10.24741522,0,0,0,0,0,0,0,171.5707666,0,0,0,28.4292334,0,0,0,0,0,200,0,0,14.1,0,0,0,29.35,0,0,0,0,0,16.87272727,0,0,15.20391032,0,0,0,29.76449227,0,0,0,0,0,18.71382571,0.693147181,1.423529412,2
Bagley Bottoms,BB07,20,0,60,0,0,20,0,0,0,0,0,30,130,15.38461538,0,46.15384615,0,0,15.38461538,0,0,0,0,0,23.07692308,3.6228195,0,9.6931215,0,0,1.707102,0,0,0,0,0,3.00335418,18.02639718,20.09730211,0,53.77181809,0,0,9.470012133,0,0,0,0,0,16.66086767,35.48191749,0,99.92566424,0,0,24.85462752,0,0,0,0,0,39.73779075,200,17.65,0,20.05,0,0,0,0,0,0,0,0,0,15.73076923,17.65063738,0,21.09419351,0,0,12.72360012,0,0,0,0,0,8.723340339,17.19783081,1.386294361,3.188679245,4
Bagley Bottoms,BB08,0,0,70,0,0,0,0,0,0,0,0,20,90,0,0,77.77777778,0,0,0,0,0,0,0,0,22.22222222,0,0,15.2046612,0,0,0,0,0,0,0,0,2.38018014,17.58484134,0,0,86.46459133,0,0,0,0,0,0,0,0,13.53540867,0,0,164.2423691,0,0,0,0,0,0,0,0,35.7576309,200,0,0,12.77142857,0,0,0,0,0,0,0,0,9.4,12.02222222,0,0,13.60441105,0,0,0,0,0,0,0,0,9.654014709,12.83207786,0.693147181,1.528301887,2
Bagley Bottoms,BB09,0,0,170,0,0,0,10,0,0,0,0,10,190,0,0,89.47368421,0,0,0,5.263157895,0,0,0,0,5.263157895,0,0,29.23333092,0,0,0,2.13818616,0,0,0,0,2.54461824,33.91613532,0,0,86.1929894,0,0,0,6.304333144,0,0,0,0,7.50267746,0,0,175.6666736,0,0,0,11.56749104,0,0,0,0,12.76583535,200,0,0,13.91764706,0,0,0,26.3,0,0,0,0,9.1,14.31578947,0,0,14.46447982,0,0,0,26.3,0,0,0,0,9.1,15.09837914,1.083575524,1.240549828,3
Bagley Bottoms,BB10,0,0,30,0,10,0,0,40,0,0,0,0,80,0,0,37.5,0,0,0,0,50,0,0,0,0,0,0,3.02522472,0,1.82649006,0,0,3.96909396,0,0,0,0,8.82080874,0,0,34.29645523,0,0,0,0,44.99693936,0,0,0,0,0,0,64.50329095,0,28.80333184,0,0,85.42830993,0,0,0,0,178.7349327,0,0,10.43333333,0,5.7,0,0,22.325,0,0,0,0,15.7875,0,0,10.51554405,0,5.7,0,0,23.3961001,0,0,0,0,17.86662391,1.083575524,2.461538462,3
Minnesota City Boat Club,BC01,0,0,0,0,0,30,10,0,0,0,10,10,60,0,0,0,0,0,50,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,7.37020836,1.98967374,0,0,0,0.73389024,0.43201134,10.52578368,0,0,0,0,0,70.02051899,18.90285608,0,0,0,6.972309733,4.104315205,0,0,0,0,0,120.020519,35.56952274,0,0,0,23.6389764,20.77098187,200,0,0,0,0,0,9.533333333,34.6,0,0,0,16.2,8.9,14.71666667,0,0,0,0,0,9.810538551,34.6,0,0,0,16.2,8.9,17.45255473,1.386294361,3,1
