xxxstd,tfd,Site
0.924583696,12.0941098,Lake Rebecca
0.879422161,10.01150789,Lake Rebecca
0.869953319,6.445766504,Lake Rebecca
0.801189797,21.88519198,Lake Rebecca
0.796316059,8.548840599,Lake Rebecca
1.001863018,0.009756098,Lake Rebecca
0.984378766,6.438034146,Lake Rebecca
0.858525976,31.66078979,Lake Rebecca
0.605750249,1.605951122,Lake Rebecca
0.849934886,0.378255999,Lake Rebecca
1.032964635,23.09879249,Lake Rebecca
1.178474073,11.24625787,Lake Rebecca
1.096545422,24.46292093,Lake Rebecca
1.111161933,11.4936797,Lake Rebecca
1.160948821,49.04730565,Lake Rebecca
0.597770524,0.009756098,Lake Rebecca
0.522626392,0.029268293,Lake Rebecca
0.562012353,0.722810603,Lake Rebecca
0.620173295,1.95570502,Lake Rebecca
1.09383919,13.9883859,Lake Rebecca
0.782568613,6.648226703,Lake Rebecca
1.851388084,63.38434036,Lake Rebecca
0.954523514,10.60667402,Lake Rebecca
0.703326066,11.18664912,Lake Rebecca
0.651946614,18.5486342,Lake Rebecca
0.503032743,28.33906819,Lake Rebecca
0.724791898,12.45686991,Lake Rebecca
1.656190614,10.98913202,Lake Rebecca
0.605338209,0.872012059,Lake Rebecca
1.859472035,48.56996867,Lake Rebecca
0.518234936,14.18316889,Lake Rebecca
0.782222111,10.80723103,Lake Rebecca
0.95482512,10.55770585,Lake Rebecca
0.913505388,6.45357725,Lake Rebecca
0.804555482,8.909876134,Lake Rebecca
0.531745479,3.590367084,Lake Rebecca
0.743446645,18.67868248,Lake Rebecca
0.378509909,2.18325572,Lake Rebecca
0.447191455,11.82433213,Lake Rebecca
1.582527214,45.90998837,Lake Rebecca
0.972195386,20.85964912,Great River Harbor
0.868683035,12.73684211,Great River Harbor
1.006688056,13.61403509,Great River Harbor
1.014802794,31.35087719,Great River Harbor
0.586537773,10.1754386,Great River Harbor
0.822925017,0,Great River Harbor
1.185443972,12.12280702,Great River Harbor
1.294959035,36.98245614,Great River Harbor
0.833160988,2.175438596,Great River Harbor
1.094192665,0.280701754,Great River Harbor
1.097351448,36.14035088,Great River Harbor
1.240444821,18.70175439,Great River Harbor
1.527515568,41.59649123,Great River Harbor
1.104319866,22.98245614,Great River Harbor
1.594609011,67.22807018,Great River Harbor
0.977709852,0,Great River Harbor
0.507570773,0,Great River Harbor
0.547675652,1.228070175,Great River Harbor
0.981223073,6.122807018,Great River Harbor
1.28535332,35.22807018,Great River Harbor
1.08696367,17.70175439,Great River Harbor
2.140599961,100.8245614,Great River Harbor
0.977033852,23.22807018,Great River Harbor
