Year,tfdBB,tfdGI,tfdBC,tfdML,tfdGR,tfdIS,tfdLR,tfdAll
1972,13.00694444,14.75842697,11.33333333,,20.85964912,0.512195122,,12.0941098
1973,25.24305556,10.19101124,1.703703704,,12.73684211,0.182926829,,10.01150789
1974,6.006944444,8.292134831,3.888888889,,13.61403509,0.426829268,,6.445766504
1975,21.125,23.86516854,21.96296296,,31.35087719,11.12195122,,21.88519198
1976,14.56944444,8.45505618,8.62962963,,10.1754386,0.914634146,,8.548840599
1977,0,0,0,,0,0.048780488,,0.009756098
1978,7.347222222,9.146067416,3.074074074,,12.12280702,0.5,,6.438034146
1979,44.09027778,41.28089888,31.92592593,,36.98245614,4.024390244,,31.66078979
1980,2.069444444,3.662921348,0,,2.175438596,0.12195122,,1.605951122
1981,0.5,1.061797753,0,,0.280701754,0.048780488,,0.378255999
1982,24.90277778,29.16853933,22.14814815,,36.14035088,3.134146341,,23.09879249
1983,12.18055556,12.12359551,12.48148148,,18.70175439,0.743902439,,11.24625787
1984,29.95138889,26.2247191,23.44444444,,41.59649123,1.097560976,,24.46292093
1985,17.27777778,9.511235955,7.148148148,,22.98245614,0.548780488,,11.4936797
1986,52.04861111,49.30898876,58.37037037,,67.22807018,18.2804878,,49.04730565
1987,0,0,0,,0,0.048780488,,0.009756098
1988,0,0,0,,0,0.146341463,,0.029268293
1989,2.173611111,0.028089888,0.111111111,,1.228070175,0.073170732,,0.722810603
1990,1.881944444,1.578651685,0,,6.122807018,0.195121951,,1.95570502
1991,12.57638889,15.87640449,5.407407407,,35.22807018,0.853658537,,13.9883859
1992,8.527777778,4.483146067,2.333333333,,17.70175439,0.195121951,,6.648226703
1993,83.1875,65.0505618,50.44444444,,100.8245614,17.41463415,,63.38434036
1994,9.243055556,11.47191011,8.407407407,,23.22807018,0.682926829,,10.60667402
1995,4.548611111,17.2247191,2.814814815,,30.77192982,0.573170732,,11.18664912
1996,18.69444444,17.70224719,17.14814815,,35.21052632,3.987804878,,18.5486342
1997,28.71527778,26.74719101,26.81481481,,42.49122807,16.92682927,,28.33906819
1998,17.82638889,11.82022472,11.25925926,,20.56140351,0.817073171,,12.45686991
1999,11.51388889,11.08426966,7.740740741,,24.07017544,0.536585366,,10.98913202
2000,1.465277778,0.308988764,0,,2.561403509,0.024390244,,0.872012059
2001,50.52083333,48.8988764,46.81481481,,67.29824561,29.31707317,,48.56996867
2002,13.18055556,9.752808989,9.037037037,,37.42105263,1.524390244,,14.18316889
2003,10.90277778,8.511235955,6.962962963,,26.84210526,0.817073171,,10.80723103
2004,18.00694444,10.64044944,4.555555556,,19.28070175,0.304878049,,10.55770585
2005,2.076388889,4.853932584,1.925925926,,23.07017544,0.341463415,,6.45357725
2006,6.222222222,7.814606742,4.888888889,,25.24561404,0.37804878,,8.909876134
2007,3.659722222,3.724719101,2,,8.421052632,0.146341463,,3.590367084
2008,37.85416667,16.56741573,7.444444444,,30.92982456,0.597560976,,18.67868248
2009,0.368055556,1.837078652,0.962962963,,7.614035088,0.134146341,,2.18325572
2010,7.506944444,15.01123596,7.555555556,,27.87719298,1.170731707,,11.82433213
2011,46.88888889,50.85955056,38.74074074,,79.71929825,13.34146341,,45.90998837
