Site,Plot,Tree #,Species,Pith Score,Match Score,Core Condition,Notes,,,,,,
Bagley Bottoms,4,1,ASH,C,B,A,,,,,,,
Bagley Bottoms,4,2,SM,C,C,A,,,,,,,
Bagley Bottoms,4,3,SM,B,A,B,,,,,,,
Bagley Bottoms,4,4,SM,B,A,B,Now tree 6,,,,,,
Bagley Bottoms,4,5,SM,B,A,B,,,,,,,
Bagley Bottoms,4,6,AE,C,C,A,now silver maple,,,,,,
Bagley Bottoms,4,7,SM,A,C,A,,,,,,,
Bagley Bottoms,4,8,SM,C,B,A,,,,,,,
Bagley Bottoms,4,9,SM,C,C,B,,,,,,,
Bagley Bottoms,4,10,SM,C,C,A,,,,,,,
Bagley Bottoms,4,11,SM,,,,,,,,,,
Bagley Bottoms,4,12,SM,B,C,B,,,,,,,
Bagley Bottoms,4,13,SM,C,C,A,,,,,,,
Bagley Bottoms,4,14,SM,B,C,B,,,,,,,
Bagley Bottoms,4,15,SM,,,,,,,,,,
Bagley Bottoms,5,1,CW,C,A,A,,,,,,,
Bagley Bottoms,5,2,SM,A,B,A,,,,,,,
Bagley Bottoms,5,3,SM,C,A,A,,,,,,,
Bagley Bottoms,5,4,SM,A,C,B,,,,,,,
Bagley Bottoms,5,5,SM,C,B,A,,,,,,,
Bagley Bottoms,5,6,SM,C,B,B,,,,,,,
Bagley Bottoms,5,7,SM,C,C,A,,,,,,,
Bagley Bottoms,5,8,SM,B,,B,,,,,,,
Bagley Bottoms,5,9,CW,C,B,C,,,,,,,
Bagley Bottoms,5,10,SM,C,,B,,,,,,,
Bagley Bottoms,5,11,SM,B,C,A,,,,,,,
Bagley Bottoms,10,1,SWO,B,B,A,,,,,,,
Bagley Bottoms,10,2,SWO,C,B,A,,,,,,,
Bagley Bottoms,10,3,HB,A,B,B,,,,,,,
Bagley Bottoms,10,4,SWO,B,C,B,,,,,,,
Bagley Bottoms,10,5,SWO,A,A,B,,,,,,,
Bagley Bottoms,10,6,SM,C,,B,,,,,,,
Bagley Bottoms,10,7,SM,B,B,A,,,,,,,
Bagley Bottoms,10,8,SM,B,C,B,,,,,,,
Bagley Bottoms,8,1,SM,A,C,A,,,,,,,
Bagley Bottoms,8,2,SM,C,C,A,,,,,,,
